text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.","extremely dry mouth, severe joint aches, muscle cramps in lower legs, sever swelling of feet, hands and ankles, difficulty breathing, tired, memory loss, mild depression, diminished eyesight.","iritated eyes, extremely painful inflammed joints(too painful to walk) muscle cramps, numbness and tingling in feet arm and legs-muscle spasams in face and neck.",swelling hands,hand swelling,sever swelling of hands,hand swelling,painful to walk,pain aggravated
peripheral neuropathy.,"bloating - gi difficulties, added weight, weakened muscle noticed in arms but not legs.",periphiral neuropathy.,problems with balance,memory impairment,memory difficulties,memory impairment,periphiral neuropathy,peripheral neuropathy nos
"started with muscle pain and weakness, which i thought was due to my age and job.",muscle injury,initially minor muscle pain but thought it was due to my working out.,"permanent, irreversible muscle damage",muscle injury,"permanent, irreversible muscle damage",muscle injury,muscle achs,myalgia
i wish i could be tired. shouldn't have taken the vyvanse. now i'm never sleeping.,@_chanabeth_ @laceykaybee i didn't stay long. and i took a vyvanse so i can't go back to sleep. lol,makes me very tired.,never sleeping,sleep loss,can't go back to sleep,sleep loss,very tired,tiredness
"started taking lipitor 20mg in feb '08; in sept '10 experienced stiff, achy joints around shoulders/arms, hips and achilles tendons.",painfull stiff joints pins and needles on right arm.,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",stiff joints,joint stiffness,painfull stiff joints,joint stiffness,acute pain,acute pain
after only 3 weeks on 10 mg of lipitor i called my dr to discontinue.,"always tired, and possible blood clots.",i started taking lipitor in december 2009 and stopped after 4 months.,drained and tired,tiredness,tired,tiredness,extreme pain in neck,neck pain
"fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",my doctor prescribed 10mg of lipitor 3 years ago.,"tingling in feet & face/abdominal & muscular pain in back of neck/ cramps in calves, this stuff is horrible!!! .",headaches,headache,headaches,headache,muscular pain,myalgia
@anwen @ellwynnnnn venlafaxine withdrawal is worse than most by miles x,@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",withdrawal,withdrawal symptom,withdrawal,withdrawal symptom,diarrhea,diarrhea
neck pain/back spasms/foggy thinking/insomnia.,"this drug makes me so agitated--insomnia, hideously increased muscle tension, short tempered, impatient.","shoulder and neck muscle pain, tender joints, wrist pain, fogginess, depression when not getting enough rest, possible insomnia.",back spasms,back muscle spasms,spasms in my back,back muscle spasms,memory loss,amnesia
"slight flush, sedation, bed wetting.",sedation,"stomach pains, gass, dry mouth and drowsiness.",sedation,sedation,sedation,sedation,drowsiness,drowsiness
"severe back pain muscles pain loss of energy, depression.","i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.","tiredness, some back pain.",depression,depression,depressed,depression,back pain,backache
arm stiffness.,neurodegenerative disorder,painfull stiff joints pins and needles on right arm.,neurological problems,neurodegenerative disorder,neurological problems,neurodegenerative disorder,painfull stiff joints,joint stiffness
hell on earth.,i hate my new medication. it makes me feel hungry :-( #quetiapine,horrible stuff.,always hungry,feeling hungry,hungry,feeling hungry,faintness,syncope
"i started to take 20 mg lipitor in august 2006, after 6 months, i reduced to take 10 mg, and after another 6 months, i reduced the lipitor intake to 5 mg.","i developed constipation and flatulence, which i had rarely suffered from before taking lipitor.",i started taking lipitor in december 2009 and stopped after 4 months.,weak legs,weakness of limbs,weakness in my legs,weakness of limbs,extreme pain in neck,neck pain
i had muscle cramps and muscle pain.,left shoulder pain and right hip and muscle pain over 3 weeks.,i experienced tighening of the chest and leg cramps.,pain,pain,pain,pain,tighening of the chest,tight chest
"weakness in both legs, hip pain, knee pain, feet and ankle pain.","still have pain in feet and legs, since dr made me continue this lipitor (crippling medicine from hell) & when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working.","severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",feet pain,foot pain,foot/ankle pain,foot pain,muscle cramps in face,facial spasm
it's 6 am and still no sleep fuck you vyvanse,"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma",@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted,no sleep,sleep loss,sleepless,sleep loss,feel wasted,feeling drunk
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.","weakness, cramping, muscle spasms.","headache, chestpain, arrythmia, diarrhea, malaisse, forgetfulness, confusion, back pain and after 1 month a worrisome case of phlebitis(every superficial vein in my one leg is bulging) my veins hurt, severe leg cramps, numbness in ankles and toes.",trouble swallowing,swallowing difficult,difficulty swallowing,swallowing difficult,headache,headache
severe muscle pain.,muscular pain in the back.,extreme muscle pain.,back pain,backache,muscular pain in the back,backache,extreme muscle pain,myalgia
severe back pain.,weight increased,muscular pain in the back.,big weight gain in stomach area,weight increased,big weight gain in stomach area,weight increased,muscular pain in the back,backache
"severe edema of lower extremities that got worse when walking/exercising/sitting/standing, vision problems, muscle weakness (lift weights every day but couldn't open a bottle of water), shoulder pain (every morning regardless of sleeping position), numbness on left side, rapid pulse, productive cough, poor coordination while walking (kept bumping into things), light-headedness (hurt to hold my head up or turn my head from side to side and that made driving real difficult), 25% weight gain (due to doctor-recommended eating to relieve light-headedness).",productive cough,"severe edema with swelling of limbs, vision problems, weakness, muscle pain, rhabdomyolysis/muscle loss, rapid pulse, cough, poor coordination while walking, dizziness, difficulty sleeping, increased sensitivity to other drugs, sweating, nausea, frequent headaches, numbness/tingling?aching/ heavy feeling in limps, difficulty walking due to swelling in legs and problems with coordination, fatigue, increased.",productive cough,productive cough,productive cough,productive cough,nausea,nausea
didn't associate my problems with lipitor until reading this web site.,very bad pain in left side and buttocks.,i started lipitor more than two years ago.,hurts to go up stairs,pain aggravated,hurt to stand,pain aggravated,weakness,asthenia
very bad pain in left side and buttocks.,i started taking lipitor after my cholesterol climbed to 310.,severe muscle and joint pain in left leg.,hurt to stand,pain aggravated,painful to walk,pain aggravated,pain,pain
"blurred vision, dizziness, brain.","very very blurry vision, at times felt that i'm going blind, severe muscle pain, dizziness, and migrane headaches.","extreme tiredness, dizziness, memory loss, moody.",dizziness,dizziness,dizziness,dizziness,moody,mood variable
i just had a blood test done as part of a routine physical.,"heavy legs, muscle aches, confusion, not able to remember things like whether i had done something or where i had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.",i've been taking lipitor for three months and just had my blood tests done yesterday.,mental confusion,confusion,confusion,confusion,numbness,numbness
"my wife and i bo,th shared weakness in legs, pain in legs, hair losss, rashes, itchy when i went to sit down instead of sitng normaly i would almost fall down in the chair no control no strength, upon getting up i had to hold on to something to get up.",weakness in extremity,i have had tendonitis in my knees and troublesome pain in my lower legs and feet.,"hands, have little or no grip",weakness in extremity,"hands, have little or no grip",weakness in extremity,tendonitis in my knees,tendonitis
